,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
1012,90,278201,125331,147015,274049,72613
1013,90,127979,82285,84427,124524,59527
1014,90,315032,161207,188900,308686,88847
1015,90,247334,198493,203976,237124,122091
1016,90,363978,155137,222441,356449,73513
1017,90,224039,189558,192637,217448,131792
1018,90,287959,223462,235048,281837,153413
1019,90,105680,66596,69811,103862,49220
1020,90,330030,201997,216768,325444,95226
1021,90,161481,131359,136590,156591,98521
1022,90,294001,190831,197428,289440,51267
1023,90,167526,129319,132845,163863,98571
1024,90,198158,94910,99998,192137,55522
1025,90,356743,19469,20496,337803,15094
1026,90,497732,241146,250299,477910,159363
1027,90,298010,168252,172427,287464,116555
1028,90,298752,154299,160058,279182,100927
1029,90,109003,33775,34135,103043,24145
1030,90,242220,165347,170726,233099,90847
1031,90,162363,106385,108270,155857,63122
1032,90,223770,132809,141743,213969,74229
1033,90,59782,43443,43745,57806,29799
1034,90,103601,86098,86496,99244,58875
1035,90,113340,91677,92854,110860,62195
1036,90,259300,189737,192266,244390,105950
1037,90,187892,163931,165908,183547,118464
1038,90,288749,204205,208582,282077,116903
1039,90,81701,21964,22328,76401,14490
1040,90,73707,37074,38025,70411,26698
1041,90,203719,122771,125351,194333,77957
1042,90,155822,52144,52731,146563,35522
1043,90,184723,112378,114214,178112,68660
1044,90,83749,59606,62164,80451,40341
1045,90,107196,87317,93134,105146,59945
1046,90,77245,58597,59895,76156,40241
1047,90,122640,52241,54234,121577,28264
1048,90,475769,451068,455573,472414,342557
1049,90,83979,72725,73550,82927,56417
1050,90,32890,16061,16239,31102,12389
1051,90,36989,17298,18241,35501,13674
1052,90,203628,113677,114385,201058,74630
1053,90,286612,173475,174943,284706,110857
1054,90,138489,42717,46459,136774,31489
1055,90,99996,63137,65904,96319,37573
1056,90,135144,97912,101161,131429,60089
1057,90,116826,92101,96018,114520,53128
1058,90,67047,23772,24643,64683,14147
1059,90,43460,11350,11543,41041,7650
1060,90,79455,43303,44446,78755,32733
1061,90,54791,38421,40371,52263,27097
1062,90,151239,125886,133150,148111,82027
1063,90,157540,129188,133870,155774,91692
1064,90,94518,52497,54774,91048,34894
1065,90,61060,18516,21464,57528,11444
1066,90,61235,11716,13324,56058,7089
1067,90,49375,28838,29267,48355,16198
1068,90,131126,84025,85366,124403,49838
1069,90,27638,20764,20924,27040,15090
1070,90,123514,79908,81007,121453,30324
1071,90,174539,142023,143824,172338,22864
1072,90,138033,92483,95919,134205,42267
1073,90,105962,76454,80143,97402,44718
1074,90,175671,91562,96974,154726,74364
1075,90,204196,127957,134793,199732,105839
1076,90,176006,96866,103151,165558,92799
1077,90,97462,42898,46519,87284,43471
1078,90,29194,21317,22323,28618,17181
1079,90,26866,18781,19422,26320,15977
1080,90,49256,31126,32389,47940,26979
1081,90,153143,79088,84167,143187,72925
1082,90,147582,45638,54058,135114,61592
1083,101,145640,116558,118714,143242,63444
1084,101,169078,150316,152099,165924,78623
1085,101,203711,143069,146861,190392,78919
1086,100,84009,67269,70309,83000,53835
1087,100,48935,36654,37500,48296,32196
1088,100,73864,58067,60577,72972,49582
1089,100,73111,56502,61680,71614,41288
1090,100,50989,43777,44640,48747,27541
1091,100,91783,73622,75709,89639,49252
1092,100,93288,77822,80084,90839,50999
1093,100,99045,79430,83903,96379,58870
1094,100,46089,36522,38657,45576,28866
1095,100,75329,59560,62758,73307,44377
1096,100,92678,66715,69603,88787,48708
1097,100,94640,72734,75022,89858,48276
1098,100,62854,57416,59226,62495,30713
1099,100,64996,59637,61447,64635,31446
1100,100,93183,78933,83532,91732,48864
1101,100,92020,72844,79780,90394,50275
1102,100,79090,68836,71749,76537,48832
1103,100,72771,63759,66290,70563,44999
1104,100,75207,66793,68939,73161,46774
1105,100,63550,55825,57771,61649,39354
1106,100,88728,52192,59209,87509,51321
1107,100,81884,44783,73270,80861,50015
1108,100,61469,35082,54850,60622,37441
1109,100,83877,51455,54317,77827,32031
1110,100,86584,51693,55467,80424,30674
1111,100,88563,53936,57742,82957,33534
1112,100,74201,63754,65451,72848,47844
1113,100,93055,55056,60835,90638,51754
1114,100,70472,63072,64361,69552,48463
1115,100,99456,40097,46509,97169,55671
1116,100,75781,65515,66812,74789,50138
1117,100,105546,61924,68235,103117,58275
1118,100,175659,134787,139303,167308,75925
1119,100,91272,76031,77350,90568,44767
1120,100,159513,130670,134842,158079,79945
1121,100,158668,136214,138535,157645,79901
1122,100,147642,124317,127265,146509,74031
1123,100,165013,143743,145871,163391,86589
1124,100,215690,188614,190235,214467,113032
1125,100,161540,133834,137584,159835,75069
1126,100,75543,68885,69713,74989,50807
